"metric","value"
"observations","2655"
"start_date","2014-02-06"
"end_date","2026-07-31"
"pre_observations","1304"
"post_observations","1351"
"r_squared_full","0.703818792797337"
"adjusted_r_squared_full","0.702586105215335"
"r_squared_baseline","0.695625123172721"
"residual_sigma","0.340465334087092"
"durbin_watson","2.82796654856867"
"breusch_pagan_stat","25.2967151989798"
"breusch_pagan_df","11"
"breusch_pagan_p","0.00824698452077988"
"breusch_godfrey_lag5_stat","636.66720639862"
"breusch_godfrey_lag5_p","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000241104354399363"
"jarque_bera_stat","19753.898726779"
"jarque_bera_p","0"
"reset_f","7.0885210106161"
"reset_p","0.000850604718160717"
"max_vif","3.56010174854956"
"max_vif_term","HML"
"max_cooks_distance","0.142222452267753"
"cooks_over_4_over_n","134"
