"variable","mean","sd","min","q25","median","q75","max"
"Y",0.0206255176597022,0.62706145930966,-4.30973216520893,-0.278089764945566,0.0400501266383912,0.346895109181,3.78260830599189
"JPY_app",-0.0143434759323651,0.585131336870899,-2.85048480774757,-0.315865302100882,-0.0265945660004263,0.257400399517316,4.32237463925613
"Nikkei_ret",0.0451272123191165,1.36616368960859,-13.2340780120044,-0.60075683083145,0.0733282082372,0.72861408882865,9.73655582905479
"SMB",-0.0022811478387214,0.498106251796074,-2.34,-0.29,0.01,0.3,3.12
"HML",0.0183581547402834,0.722578348044204,-3.59,-0.39,0.01,0.42,4.57
"RMW",-0.00271340355975299,0.414362002091651,-1.84,-0.24,0.01,0.24,2.22
"CMA",0.0078496185978932,0.38776119748186,-2.37,-0.22,0,0.23,2.29
"MOM",-0.0115909916454777,0.809507735020708,-7.15,-0.36,0.04,0.39,8.55
"dlog_VIX",-0.0531042228011555,8.1083460130287,-44.2448692403647,-4.46561391499896,-0.749379027279762,3.56145300083641,76.8245006791025
"rate_diff",1.85266854157248,1.8276650060791,-0.01,0.118,1.248,3.13,5.394
