"lambda","profile_score","selected"
-2,-3105.69116579774,FALSE
-1.95,-2998.40652652133,FALSE
-1.9,-2891.44336980614,FALSE
-1.85,-2784.8097709441,FALSE
-1.8,-2678.51422895971,FALSE
-1.75,-2572.56570192456,FALSE
-1.7,-2466.97364597558,FALSE
-1.65,-2361.74805848058,FALSE
-1.6,-2256.89952585112,FALSE
-1.55,-2152.43927656761,FALSE
-1.5,-2048.37924005389,FALSE
-1.45,-1944.73211212019,FALSE
-1.4,-1841.51142778491,FALSE
-1.35,-1738.73164238823,FALSE
-1.3,-1636.40822202435,FALSE
-1.25,-1534.55774444559,FALSE
-1.2,-1433.19801173057,FALSE
-1.15,-1332.34817616065,FALSE
-1.1,-1232.02888091282,FALSE
-1.05,-1132.26241735262,FALSE
-1,-1033.07290089446,FALSE
-0.95,-934.486467585442,FALSE
-0.9,-836.531493756065,FALSE
-0.85,-739.238841258188,FALSE
-0.8,-642.642130965539,FALSE
-0.75,-546.778047326546,FALSE
-0.7,-451.686676811075,FALSE
-0.65,-357.411883050558,FALSE
-0.6,-264.00172129474,FALSE
-0.55,-171.508894446772,FALSE
-0.5,-79.991252326903,FALSE
-0.45,10.4876651261414,FALSE
-0.4,99.8580413733227,FALSE
-0.35,188.043156074097,FALSE
-0.3,274.958722294851,FALSE
-0.25,360.512196624009,FALSE
-0.2,444.602074995267,FALSE
-0.15,527.117192381709,FALSE
-0.0999999999999999,607.936051020881,FALSE
-0.0499999999999998,686.926209469327,FALSE
0,763.943773445516,FALSE
0.0500000000000003,838.833038803922,FALSE
0.1,911.426346542579,FALSE
0.15,981.544218620071,FALSE
0.2,1048.99585031516,FALSE
0.25,1113.58003829028,FALSE
0.3,1175.08662147334,FALSE
0.35,1233.29850222759,FALSE
0.4,1287.99429601954,FALSE
0.45,1338.95162744067,FALSE
0.5,1385.9510485934,FALSE
0.55,1428.78050379105,FALSE
0.6,1467.24020567326,FALSE
0.65,1501.14772796628,FALSE
0.7,1530.34306700255,FALSE
0.75,1554.6933866149,FALSE
0.8,1574.0971475281,FALSE
0.85,1588.48733892718,FALSE
0.9,1597.83357840566,FALSE
0.95,1602.14292367907,TRUE
1,1601.45933678074,FALSE
1.05,1595.86184653876,FALSE
1.1,1585.4615540307,FALSE
1.15,1570.39770572593,FALSE
1.2,1550.83311112675,FALSE
1.25,1526.94920199509,FALSE
1.3,1498.94102007448,FALSE
1.35,1467.01238524281,FALSE
1.4,1431.37144447978,FALSE
1.45,1392.22674278208,FALSE
1.5,1349.78389815925,FALSE
1.55,1304.24291009378,FALSE
1.6,1255.79608802789,FALSE
1.65,1204.62655503129,FALSE
1.7,1150.90726156416,FALSE
1.75,1094.8004337867,FALSE
1.8,1036.45737819693,FALSE
1.85,976.018567376511,FALSE
1.9,913.613938315434,FALSE
1.95,849.363343521794,FALSE
2,783.377104632087,FALSE
